,Player,Points,Rebounds,Assists,Turnovers,Steals,Blocked_shots
10,Jeffery Taylor,0,0,0,0,0,0
0,Sergio Llull,17,2,3,2,1,0
1,Vincent Poirier,16,10,2,1,2,2
2,Guerschon Yabusele,16,3,0,2,1,0
3,Adam Hanga,9,2,3,1,1,0
4,Nigel Williams-Goss,8,0,3,1,0,0
5,Walter Tavares,6,7,1,1,2,3
6,Alberto Abalde,6,7,2,0,3,0
7,Fabien Causeur,6,4,2,2,0,0
8,Anthony Randolph,6,2,1,1,0,0
9,Rudy Fernandez,3,2,0,0,1,0
10,Juan Nunez,2,0,3,1,0,0
0,Guerschon Yabusele,16,9,3,2,1,0
1,Nigel Williams-Goss,13,3,3,3,2,0
2,Walter Tavares,10,14,0,0,1,2
3,Sergio Llull,8,0,2,1,0,0
4,Adam Hanga,7,7,2,1,1,1
5,Alberto Abalde,7,3,2,1,2,0
6,Vincent Poirier,5,2,0,0,0,1
7,Anthony Randolph,3,2,0,1,0,0
8,Juan Nunez,2,2,1,3,0,0
9,Fabien Causeur,0,0,1,2,1,0
0,Sergio Llull,18,3,6,1,1,0
1,Guerschon Yabusele,16,8,2,1,0,0
2,Vincent Poirier,14,6,0,1,0,2
3,Walter Tavares,9,3,1,2,1,2
4,Nigel Williams-Goss,9,3,1,3,0,0
5,Adam Hanga,8,10,4,0,2,1
6,Alberto Abalde,6,2,3,0,0,0
7,Fabien Causeur,4,2,5,1,1,1
8,Rudy Fernandez,3,1,3,1,1,1
9,Anthony Randolph,0,0,0,1,0,0
